"","NETWORTH","YEAR","name","gender","source_id","sector_id","age","WGT","avg_cpi","adj_value","base_year","pct_increase","CPI","NETWORTH_2019"
"1",81000000000,2014,"Bill Gates","M","Microsoft","Technology",65,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,87096774193.5484
"2",67000000000,2014,"Warren Buffett","M","Berkshire Hathaway","Investments",90,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,72043010752.6882
"3",50000000000,2014,"Larry Ellison","M","Oracle","Technology",76,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,53763440860.215
"4",42000000000,2014,"Charles Koch","M","diversified","Diversified",85,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,45161290322.5806
"5",42000000000,2014,"David Koch","M","diversified","Diversified",80,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,45161290322.5806
"6",38000000000,2014,"Christy Walton","F","Wal-Mart","Fashion and Retail",66,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,40860215053.7634
"7",36000000000,2014,"Jim Walton","M","Wal-Mart","Fashion and Retail",73,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,38709677419.3548
"8",35000000000,2014,"Michael Bloomberg","M","Bloomberg LP","Media",79,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,37634408602.1505
"9",34900000000,2014,"Alice Walton","F","Wal-Mart","Fashion and Retail",71,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,37526881720.4301
"10",34800000000,2014,"S. Robson Walton","M","Wal-Mart","Fashion & Retail",76,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,37419354838.7097
"11",34000000000,2014,"Mark Zuckerberg","M","Facebook","Technology",36,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,36559139784.9462
"12",32000000000,2014,"Sheldon Adelson","M","casinos","Gaming",87,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,34408602150.5376
"13",31500000000,2014,"Larry Page","M","Google","Technology",47,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,33870967741.9355
"14",31000000000,2014,"Sergey Brin","M","Google","Technology",47,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,33333333333.3333
"15",30500000000,2014,"Jeff Bezos","M","Amazon.com","Technology",57,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,32795698924.7312
"16",26000000000,2014,"Carl Icahn","M","investments","Investments",85,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,27956989247.3118
"17",24000000000,2014,"George Soros","M","hedge funds","Investments",90,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,25806451612.9032
"18",22500000000,2014,"Steve Ballmer","M","Microsoft","Technology",64,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,24193548387.0968
"19",22000000000,2014,"Forrest Mars, Jr.","M","candy","Food and Beverage",89,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,23655913978.4946
"20",22000000000,2014,"Jacqueline Mars","F","candy","Food and Beverage",81,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,23655913978.4946
"21",22000000000,2014,"John Mars","M","candy","Food and Beverage",84,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,23655913978.4946
"22",21500000000,2014,"Len Blavatnik","M","diversified","Energy",63,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,23118279569.8925
"23",19900000000,2014,"Phil Knight","M","Nike","Fashion and Retail",82,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,21397849462.3656
"24",18700000000,2014,"Harold Hamm","M","oil & gas","Energy",75,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,20107526881.7204
"25",17700000000,2014,"Michael Dell","M","Dell","Technology",55,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,19032258064.5161
"26",17200000000,2014,"Charles Ergen","M","Dish Network","Media",67,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,18494623655.914
"27",17000000000,2014,"Paul Allen","M","Microsoft, investments","Technology",68,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,18279569892.4731
"28",16600000000,2014,"Laurene Powell Jobs","F","Apple, Disney","Technology",57,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,17849462365.5914
"29",16100000000,2014,"Anne Cox Chambers","F","media","Media",101,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,17311827956.9892
"30",15200000000,2014,"Ray Dalio","M","hedge funds","Investments",71,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,16344086021.5054
"31",15100000000,2014,"Donald Bren","M","real estate","Real Estate",88,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,16236559139.7849
"32",14500000000,2014,"Ronald Perelman","M","leveraged buyouts","Investments",78,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,15591397849.4624
"33",14200000000,2014,"Rupert Murdoch","M","media","Media",89,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,15268817204.3011
"34",13800000000,2014,"Jack Taylor","M","Enterprise Rent-A-Car","Service",98,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,14838709677.4194
"35",13700000000,2014,"John Paulson","M","hedge funds","Investments",65,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,14731182795.6989
"36",13300000000,2014,"Abigail Johnson","F","money management","Investments",59,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,14301075268.8172
"37",12500000000,2014,"James Simons","M","hedge funds","Investments",82,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,13440860215.0538
"38",12100000000,2014,"Andrew Beal","M","banks, real estate","Investments",68,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,13010752688.172
"39",12000000000,2014,"Patrick Soon-Shiong","M","pharmaceuticals","Health care",69,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,12903225806.4516
"40",11100000000,2014,"Philip Anschutz","M","investments","Finance and Investments",81,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,11935483870.9677
"41",10700000000,2014,"Richard Kinder","M","pipelines","Energy",76,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,11505376344.086
"42",10600000000,2014,"George Kaiser","M","oil & gas, banking","Energy",78,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,11397849462.3656
"43",10600000000,2014,"Stephen Schwarzman","M","investments","Investments",74,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,11397849462.3656
"44",10300000000,2014,"Steve Cohen","M","hedge funds","Investments",65,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,11075268817.2043
"45",10300000000,2014,"Elon Musk","M","Tesla Motors","Automotive",49,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,11075268817.2043
"46",10000000000,2014,"David Tepper","M","hedge funds","Investments",63,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,10752688172.043
"47",9800000000,2014,"Charles Butt","M","supermarkets","Fashion and Retail",83,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,10537634408.6021
"48",9500000000,2014,"Samuel Newhouse, Jr.","M","media","Media & Entertainment",93,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,10215053763.4409
"49",9300000000,2014,"Eric Schmidt","M","Google","Technology",65,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,10000000000
"50",9100000000,2014,"Thomas Peterffy","M","discount brokerage","Investments",76,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,9784946236.55914
"51",8700000000,2014,"Donald Newhouse","M","media","Media",91,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,9354838709.67742
"52",8200000000,2014,"Leonard Lauder","M","Estee Lauder","Fashion & Retail",83,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,8817204301.07527
"53",8200000000,2014,"Pierre Omidyar","M","Ebay","Technology",53,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,8817204301.07527
"54",8100000000,2014,"Dustin Moskovitz","M","Facebook","Technology",36,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,8709677419.35484
"55",8000000000,2014,"Jim Kennedy","M","media","Media",73,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,8602150537.63441
"56",8000000000,2014,"Ralph Lauren","M","Ralph Lauren","Fashion and Retail",81,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,8602150537.63441
"57",8000000000,2014,"Hank & Doug Meijer","M","supermarkets","Fashion and Retail",NA,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,8602150537.63441
"58",8000000000,2014,"Blair Parry-Okeden","F","media","Media",70,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,8602150537.63441
"59",7900000000,2014,"John Menard, Jr.","M","retail","Fashion and Retail",81,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,8494623655.91398
"60",7700000000,2014,"James Goodnight","M","software","Technology",78,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,8279569892.47312
"61",7700000000,2014,"John Malone","M","cable television","Media",79,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,8279569892.47312
"62",7600000000,2014,"Thomas Frist, Jr.","M","health care","Health care",82,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,8172043010.75269
"63",7600000000,2014,"Jan Koum","M","WhatsApp","Technology",44,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,8172043010.75269
"64",7400000000,2014,"David Duffield","M","business software","Technology",80,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,7956989247.31183
"65",7300000000,2014,"Edward Johnson, III.","M","money management","Finance and Investments",90,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,7849462365.5914
"66",7200000000,2014,"Eli Broad","M","investments","Investments",87,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,7741935483.87097
"67",7000000000,2014,"Dannine Avara","F","pipelines","Energy",56,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,7526881720.43011
"68",7000000000,2014,"Scott Duncan","M","pipelines","Energy",38,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,7526881720.43011
"69",7000000000,2014,"Milane Frantz","F","pipelines","Energy",51,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,7526881720.43011
"70",7000000000,2014,"Gordon Moore","M","Intel","Technology",92,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,7526881720.43011
"71",7000000000,2014,"Randa Williams","F","pipelines","Energy",59,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,7526881720.43011
"72",6700000000,2014,"David Geffen","M","entertainment","Media",77,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,7204301075.26882
"73",6700000000,2014,"Charles Johnson","M","money management","Finance and Investments",88,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,7204301075.26882
"74",6500000000,2014,"Jeffery Hildebrand","M","oil","Energy",61,1,236.715,0.93,"2019",-7.40754624358382,1.0752688172043,6989247311.82796
